#TYPE Selected.System.Management.Automation.PSCustomObject
Hostname;DisplayName;Status;SIDs
W008005;;N/A;BUILTIN\Administrators
W008005;Access Credential Manager as a trusted caller;Match;Empty
W008005;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008005;Act as part of the operating system;Match;Empty
W008005;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008005;Allow log on locally;Match;BUILTIN\Administrators
W008005;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008005;Back up files and directories;Match;BUILTIN\Administrators
W008005;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008005;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008005;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008005;Create a pagefile;Match;BUILTIN\Administrators
W008005;Create a token object;Match;Empty
W008005;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008005;Create permanent shared objects;Match;Empty
W008005;Create symbolic links;N/A;BUILTIN\Administrators
W008005;Debug programs;Match;BUILTIN\Administrators
W008005;Deny access to this computer from the network;Different;BUILTIN\Guests
W008005;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008005;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008005;Deny log on locally;N/A;BUILTIN\Guests
W008005;Deny log on through Remote Desktop Services;Different;BUILTIN\Guests
W008005;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008005;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008005;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008005;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008005;Increase a process working set;N/A;BUILTIN\Users
W008005;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008005;Load and unload device drivers;Match;BUILTIN\Administrators
W008005;Lock pages in memory;Match;Empty
W008005;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users,BUILTIN\IIS_IUSRS
W008005;Log on as a service;N/A;NT SERVICE\ALL SERVICES,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008005;Manage auditing and security log;Match;BUILTIN\Administrators
W008005;Modify firmware environment values;Match;BUILTIN\Administrators
W008005;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008005;Profile single process;Match;BUILTIN\Administrators
W008005;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008005;Remove computer from docking station;N/A;BUILTIN\Administrators
W008005;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008005;Restore files and directories;Match;BUILTIN\Administrators
W008005;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008005;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008006;;N/A;BUILTIN\Administrators
W008006;Access Credential Manager as a trusted caller;Match;Empty
W008006;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008006;Act as part of the operating system;Match;Empty
W008006;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008006;Allow log on locally;Match;BUILTIN\Administrators
W008006;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008006;Back up files and directories;Match;BUILTIN\Administrators
W008006;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008006;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008006;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008006;Create a pagefile;Match;BUILTIN\Administrators
W008006;Create a token object;Match;Empty
W008006;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008006;Create permanent shared objects;Match;Empty
W008006;Create symbolic links;N/A;BUILTIN\Administrators
W008006;Debug programs;Match;BUILTIN\Administrators
W008006;Deny access to this computer from the network;Different;BUILTIN\Guests
W008006;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008006;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008006;Deny log on locally;N/A;BUILTIN\Guests
W008006;Deny log on through Remote Desktop Services;Different;BUILTIN\Guests
W008006;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008006;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008006;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008006;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008006;Increase a process working set;N/A;BUILTIN\Users
W008006;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008006;Load and unload device drivers;Match;BUILTIN\Administrators
W008006;Lock pages in memory;Match;Empty
W008006;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008006;Log on as a service;N/A;FROXXEN\aadconnect,NT SERVICE\ALL SERVICES,NT SERVICE\ADSync
W008006;Manage auditing and security log;Match;BUILTIN\Administrators
W008006;Modify firmware environment values;Match;BUILTIN\Administrators
W008006;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008006;Profile single process;Match;BUILTIN\Administrators
W008006;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008006;Remove computer from docking station;N/A;BUILTIN\Administrators
W008006;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008006;Restore files and directories;Match;BUILTIN\Administrators
W008006;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008006;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008011;;N/A;BUILTIN\Administrators
W008011;Access Credential Manager as a trusted caller;Match;Empty
W008011;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008011;Act as part of the operating system;Match;Empty
W008011;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008011;Allow log on locally;Match;BUILTIN\Administrators
W008011;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008011;Back up files and directories;Match;BUILTIN\Administrators
W008011;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008011;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008011;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008011;Create a pagefile;Match;BUILTIN\Administrators
W008011;Create a token object;Match;Empty
W008011;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008011;Create permanent shared objects;Match;Empty
W008011;Create symbolic links;N/A;BUILTIN\Administrators
W008011;Debug programs;Match;BUILTIN\Administrators
W008011;Deny access to this computer from the network;Different;BUILTIN\Guests
W008011;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008011;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008011;Deny log on locally;N/A;BUILTIN\Guests
W008011;Deny log on through Remote Desktop Services;Different;BUILTIN\Guests
W008011;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008011;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008011;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008011;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008011;Increase a process working set;N/A;BUILTIN\Users
W008011;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008011;Load and unload device drivers;Match;BUILTIN\Administrators
W008011;Lock pages in memory;Match;Empty
W008011;Log on as a batch job;N/A;FROXXEN\Task-User-Logon_As_A_Batch_Job-SCCM
W008011;Log on as a service;N/A;NT SERVICE\ALL SERVICES,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008011;Manage auditing and security log;Match;BUILTIN\Administrators
W008011;Modify firmware environment values;Match;BUILTIN\Administrators
W008011;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008011;Profile single process;Match;BUILTIN\Administrators
W008011;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008011;Remove computer from docking station;N/A;BUILTIN\Administrators
W008011;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008011;Restore files and directories;Match;BUILTIN\Administrators
W008011;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008011;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008012;;N/A;BUILTIN\Administrators
W008012;Access Credential Manager as a trusted caller;Match;Empty
W008012;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008012;Act as part of the operating system;Match;Empty
W008012;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT SERVICE\SQLAgent$CM,NT SERVICE\MSSQL$CM,NT SERVICE\SQLSERVERAGENT,NT SERVICE\MSSQLSERVER
W008012;Allow log on locally;Match;BUILTIN\Administrators
W008012;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008012;Back up files and directories;Match;BUILTIN\Administrators
W008012;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators,NT SERVICE\SQLAgent$CM,NT SERVICE\MSSQL$CM,NT SERVICE\SQLSERVERAGENT,NT SERVICE\MSSQLSERVER
W008012;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008012;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008012;Create a pagefile;Match;BUILTIN\Administrators
W008012;Create a token object;Match;Empty
